ITERATION 0 

PARAMS:
-> num_beams:  5 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  1.5 
-> temperature:  1.0 
-> top_k:  50 
-> top_p:  0.7 
-> max_length:  20 
 

WEIGHT DECAY: 1e-05
LOSS 8.742515563964844 	 ACC 0.14999999999999997 
LOSS 11.257760047912598 	 ACC 0.0 
LOSS 9.76134204864502 	 ACC 0.4 
LOSS 6.741131782531738 	 ACC 0.5 
LOSS 6.2887420654296875 	 ACC 0.15 
LOSS 7.305360794067383 	 ACC 0.25 
LOSS 6.305953502655029 	 ACC 0.4 
LOSS 4.206355571746826 	 ACC 0.5 
LOSS 8.785167694091797 	 ACC 0.4 
LOSS 6.166110992431641 	 ACC 0.5 
LOSS 7.504352569580078 	 ACC 0.5 
LOSS 5.28464937210083 	 ACC 0.25 
LOSS 3.3556482791900635 	 ACC 0.25 
LOSS 6.8065185546875 	 ACC 0.5 
LOSS 5.711647033691406 	 ACC 0.5 
LOSS 6.8190531730651855 	 ACC 0.5 
LOSS 4.851678371429443 	 ACC 0.39999999999999997 
LOSS 4.747572898864746 	 ACC 0.39999999999999997 
LOSS 4.311638355255127 	 ACC 0.25 
LOSS 5.824179172515869 	 ACC 0.0 
LOSS 9.478533744812012 	 ACC 0.0 
LOSS 8.491326332092285 	 ACC 0.14999999999999997 
LOSS 8.978598594665527 	 ACC 0.25 
LOSS 6.532207012176514 	 ACC 0.5 
LOSS 9.891489028930664 	 ACC 0.25 
LOSS 7.363466739654541 	 ACC 0.55 
LOSS 3.6766769886016846 	 ACC 0.5 
LOSS 7.569403171539307 	 ACC 0.25 
LOSS 8.64935302734375 	 ACC 0.0 
LOSS 5.778900146484375 	 ACC 0.25 
LOSS 9.800532341003418 	 ACC 0.25 
LOSS 7.119691848754883 	 ACC 0.14999999999999997 
LOSS 4.575308322906494 	 ACC 0.25 
LOSS 7.683639049530029 	 ACC 0.39999999999999997 
LOSS 7.245010852813721 	 ACC 0.25 
LOSS 6.096464157104492 	 ACC 0.5 
LOSS 6.6680755615234375 	 ACC 0.15 
LOSS 9.741303443908691 	 ACC 0.25 
LOSS 6.757907867431641 	 ACC 0.25 
LOSS 4.3566718101501465 	 ACC 0.25 
LOSS 8.94473648071289 	 ACC 0.25 
LOSS 3.8053696155548096 	 ACC 0.25 
LOSS 8.598913192749023 	 ACC 0.25 
LOSS 4.427077770233154 	 ACC 0.25 
LOSS 4.521981716156006 	 ACC 0.15000000000000002 
LOSS 6.002517223358154 	 ACC 0.0 
LOSS 3.691847085952759 	 ACC 0.25 
LOSS 6.827305316925049 	 ACC 0.15000000000000002 
LOSS 6.611461639404297 	 ACC 0.5 
LOSS 5.139292240142822 	 ACC 0.25 
LOSS 8.615989685058594 	 ACC 0.39999999999999997 
LOSS 5.167489528656006 	 ACC 0.4 
LOSS 3.2831709384918213 	 ACC 0.39999999999999997 
LOSS 7.265048027038574 	 ACC 0.0 
LOSS 6.997348308563232 	 ACC 0.0 
LOSS 6.289020538330078 	 ACC 0.14999999999999997 
LOSS 8.729972839355469 	 ACC 0.75 
LOSS 4.2476325035095215 	 ACC 0.39999999999999997 
LOSS 7.1554365158081055 	 ACC 0.0 
LOSS 7.551860332489014 	 ACC 0.5 
LOSS 6.88101863861084 	 ACC 0.14999999999999997 
LOSS 5.150115489959717 	 ACC 0.0 
LOSS 7.6797990798950195 	 ACC 0.14999999999999997 
LOSS 9.106620788574219 	 ACC 0.25 
LOSS 4.479827880859375 	 ACC 0.5 
LOSS 6.013150691986084 	 ACC 0.0 
LOSS 8.726290702819824 	 ACC 0.25 
LOSS 4.709760665893555 	 ACC 0.25 
LOSS 9.330220222473145 	 ACC 0.0 
LOSS 6.106542587280273 	 ACC 0.6499999999999999 
LOSS 6.135082721710205 	 ACC 0.0 
LOSS 3.731391668319702 	 ACC 0.5 
LOSS 6.8696441650390625 	 ACC 0.0 
LOSS 3.339449167251587 	 ACC 0.25 
LOSS 8.679490089416504 	 ACC 0.0 
LOSS 8.950621604919434 	 ACC 0.65 
LOSS 5.172522068023682 	 ACC 0.5 
LOSS 4.934502124786377 	 ACC 0.25 
LOSS 6.9295525550842285 	 ACC 0.14999999999999997 
LOSS 7.744675636291504 	 ACC 0.0 
LOSS 5.303789138793945 	 ACC 0.25 
LOSS 3.7049074172973633 	 ACC 0.25 
LOSS 9.219717025756836 	 ACC 0.4 
LOSS 7.0364508628845215 	 ACC 0.0 
LOSS 4.905494689941406 	 ACC 0.0 
LOSS 4.6044816970825195 	 ACC 0.5 
LOSS 6.448722839355469 	 ACC 0.25 
LOSS 4.65311861038208 	 ACC 0.25 
LOSS 6.525477409362793 	 ACC 0.7 
LOSS 6.9137468338012695 	 ACC 0.15000000000000002 
LOSS 9.03335952758789 	 ACC 0.25 
LOSS 4.383218765258789 	 ACC 0.15 
LOSS 5.612346649169922 	 ACC 0.15 
LOSS 6.018150329589844 	 ACC 0.25 
LOSS 7.120319366455078 	 ACC 0.75 
LOSS 6.046933174133301 	 ACC 0.0 
LOSS 6.200118541717529 	 ACC 0.25 
LOSS 5.523809432983398 	 ACC 0.25 
LOSS 7.750936985015869 	 ACC 0.0 
LOSS 4.927799701690674 	 ACC 0.15 
LOSS 8.208578109741211 	 ACC 0.25 
LOSS 5.226973056793213 	 ACC 0.14999999999999997 
LOSS 9.16979694366455 	 ACC 0.25 
LOSS 6.66048526763916 	 ACC 0.15 
LOSS 7.634781837463379 	 ACC 0.25 
LOSS 4.247067928314209 	 ACC 0.0 
LOSS 6.304405212402344 	 ACC 0.0 
LOSS 6.40175724029541 	 ACC 0.25 
LOSS 6.787060260772705 	 ACC 0.0 
LOSS 6.463220596313477 	 ACC 0.25 
LOSS 9.977534294128418 	 ACC 0.0 
LOSS 3.455843687057495 	 ACC 0.75 
LOSS 5.841736793518066 	 ACC 0.25 
LOSS 4.381016254425049 	 ACC 0.4 
LOSS 6.256529808044434 	 ACC 0.25 
LOSS 6.655078887939453 	 ACC 0.25 
LOSS 1.4857124090194702 	 ACC 0.25 
LOSS 5.380010604858398 	 ACC 0.25 
LOSS 6.095560073852539 	 ACC 0.25 
LOSS 8.52913761138916 	 ACC 0.25 
LOSS 8.267651557922363 	 ACC 0.0 
LOSS 8.218413352966309 	 ACC 0.4 
LOSS 7.438228130340576 	 ACC 0.0 
LOSS 8.283867835998535 	 ACC 0.0 
LOSS 5.881881237030029 	 ACC 0.0 
LOSS 9.353227615356445 	 ACC 0.25 
LOSS 8.033407211303711 	 ACC 0.25 
LOSS 5.668046474456787 	 ACC 0.0 
LOSS 5.4821672439575195 	 ACC 0.5 
LOSS 5.5081682205200195 	 ACC 0.75 
LOSS 4.603633403778076 	 ACC 0.0 
LOSS 7.30119514465332 	 ACC 0.0 
LOSS 6.290157318115234 	 ACC 0.4 
