ITERATION 1 

PARAMS:
-> num_beams:  5 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  1.5 
-> temperature:  1.0 
-> top_k:  50 
-> top_p:  0.7 
-> max_length:  20 
 

WEIGHT DECAY: 0.0001
LOSS 7.589964389801025 	 ACC 0.25 
LOSS 8.939767837524414 	 ACC 0.15 
LOSS 5.839254856109619 	 ACC 0.25 
LOSS 9.304502487182617 	 ACC 0.25 
LOSS 6.512080669403076 	 ACC 0.14999999999999997 
LOSS 7.1517157554626465 	 ACC 0.5 
LOSS 8.016159057617188 	 ACC 0.25 
LOSS 6.8100996017456055 	 ACC 0.0 
LOSS 5.639531135559082 	 ACC 0.15000000000000002 
LOSS 6.834865570068359 	 ACC 0.25 
LOSS 9.004173278808594 	 ACC 0.0 
LOSS 8.868510246276855 	 ACC 0.25 
LOSS 4.485037326812744 	 ACC 0.25 
LOSS 6.93610143661499 	 ACC 0.25 
LOSS 8.344305038452148 	 ACC 0.5 
LOSS 6.470229625701904 	 ACC 0.0 
LOSS 9.238027572631836 	 ACC 0.5 
LOSS 8.476719856262207 	 ACC 0.15 
LOSS 8.44263744354248 	 ACC 0.5 
LOSS 8.581631660461426 	 ACC 0.4 
LOSS 5.105762004852295 	 ACC 0.14999999999999997 
LOSS 8.054805755615234 	 ACC 0.0 
LOSS 6.02175760269165 	 ACC 0.25 
LOSS 5.995364665985107 	 ACC 0.39999999999999997 
LOSS 10.713431358337402 	 ACC 0.25 
LOSS 9.304375648498535 	 ACC 0.0 
LOSS 9.016003608703613 	 ACC 0.39999999999999997 
LOSS 4.292873859405518 	 ACC 0.5 
LOSS 7.688258171081543 	 ACC 0.25 
LOSS 8.303664207458496 	 ACC 0.25 
LOSS 7.929013252258301 	 ACC 0.14999999999999997 
LOSS 6.242613315582275 	 ACC 0.25 
LOSS 7.396337509155273 	 ACC 0.5 
LOSS 5.795474529266357 	 ACC 0.25 
LOSS 7.366662979125977 	 ACC 0.0 
LOSS 6.966254711151123 	 ACC 0.39999999999999997 
LOSS 5.016237735748291 	 ACC 0.25 
